Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
 Saudi Arabia,"10,449","9,898","9,937","11,028","12,891","15,943","17,827","19,196","23,404","18,837"
 Senegal,614,648,681,832,932,993,"1,028","1,198","1,404","1,308"
 Serbia,"1,388","1,819","2,400","3,158","3,580","3,782","4,509","6,113","7,363","6,413"
 Seychelles,"7,579","7,663","8,432","8,525","10,177","11,093","12,014","12,156","11,480","9,707"
 Sierra Leone,327,363,401,426,430,485,539,576,640,605
 Singapore,"23,853","21,700","22,160","23,730","27,608","29,961","33,768","39,433","40,009","38,927"
 Slovakia,"3,836","3,976","4,620","6,300","8,009","9,104","10,698","14,379","18,066","16,581"
 Slovenia,"10,194","10,398","11,666","14,736","17,125","18,023","19,614","23,819","27,610","24,563"
 Solomon Islands,992,936,767,756,828,964,"1,059","1,186","1,301","1,334"
 Somalia,,,,,,,,,,
 South Africa,"3,382","2,964","2,778","4,191","5,393","6,008","6,251","6,752","6,338","6,538"
 South Sudan,,,,,,,,,,
 Spain,"14,714","15,299","16,937","21,335","24,698","26,251","28,177","32,340","35,380","32,159"
 Sri Lanka,"1,065","1,017","1,062","1,163","1,260","1,478","1,698","1,929","2,411","2,472"
 Saint Kitts and Nevis,"9,374","10,052","10,461","10,182","10,959","11,799","13,859","14,779","16,627","16,510"
 Saint Lucia,"5,876","5,566","5,564","6,055","6,491","6,859","7,607","7,933","8,451","8,240"
 Saint Vincent and the Grenadines,"3,968","4,277","4,516","4,704","5,077","5,350","5,930","6,568","6,729","6,564"
 Sudan,422,493,555,636,773,997,"1,250","1,600","1,701","1,401"
 Suriname,"2,902","2,466","3,078","3,550","4,034","4,773","5,546","6,123","7,267","7,865"
 Sweden,"29,597","27,219","29,905","37,220","42,674","43,292","46,364","53,366","55,596","46,497"
 Switzerland,"38,987","39,842","42,665","49,512","54,788","56,408","59,244","65,398","74,666","71,913"
 Syria,"1,203","1,237","1,305","1,209","1,361","1,510","1,726","2,016","2,557","2,557"
 Taiwan,"14,844","13,357","13,651","14,041","15,290","16,427","16,893","17,724","18,054","16,905"
 Tajikistan,159,167,188,236,309,337,402,519,702,666
 Tanzania,380,377,382,401,429,460,491,552,684,701
 Thailand,"2,008","1,893","2,096","2,359","2,660","2,894","3,370","3,973","4,380","4,213"
 Timor-Leste,493,588,534,535,474,487,465,540,628,687
 Togo,402,389,436,526,548,539,540,622,736,737
 Tonga,"2,046","1,818","1,829","2,015","2,289","2,582","2,865","2,920","3,361","3,040"
 Trinidad and Tobago,"6,546","7,046","7,163","8,931","10,442","12,472","14,280","16,766","21,449","14,777"
 Tunisia,"2,322","2,365","2,461","2,897","3,265","3,351","3,537","3,964","4,520","4,333"
 Turkey,"4,250","3,108","3,608","4,739","6,021","7,376","7,971","9,735","11,018","9,044"
 Turkmenistan,"1,833","2,503","3,107","4,039","4,966","5,943","7,321","8,780","7,189","6,671"
 Tuvalu,,,"1,746","2,082","2,391","2,354","2,467","2,868","3,193","2,764"
 Uganda,355,348,362,362,431,483,528,634,784,816
